,name,Website,Type,Size,address3,city,state,zip,Public/Private,For-Profit/NFP,Primarily_Associates?
2539,University of Phoenix-Cheyenne Campus,www.phoenix.edu,"4-year, Private for-profit",12.0,6900 Yellowtail Road,Cheyenne,Wyoming,82009-6102,Private,For-Profit,No
2540,University of Phoenix-Chicago Campus,www.phoenix.edu,"4-year, Private for-profit",1223.0,"1500 McConnor Pkwy., Suite 700",Schaumburg,Illinois,60173-4399,Private,For-Profit,No
2541,University of Phoenix-Cincinnati Campus,www.phoenix.edu,"4-year, Private for-profit",155.0,"9050 Centre Point, Suite 250",West Chester,Ohio,45069-4875,Private,For-Profit,No
2542,University of Phoenix-Cleveland Campus,www.phoenix.edu,"4-year, Private for-profit",538.0,"5005 Rockside Road, Suite 130",Independence,Ohio,44131-2194,Private,For-Profit,No
2543,University of Phoenix-Columbia Campus,www.phoenix.edu,"4-year, Private for-profit",465.0,1001 Pinnacle Point Drive,Columbia,South Carolina,29223-5733,Private,For-Profit,No
2544,University of Phoenix-Columbus Georgia Campus,www.phoenix.edu,"4-year, Private for-profit",776.0,"4747 Hamilton Road, Suite E",Columbus,Georgia,31904-6321,Private,For-Profit,No
2545,University of Phoenix-Columbus Ohio Campus,www.phoenix.edu,"4-year, Private for-profit",224.0,8415 Pulsar Place,Columbus,Ohio,43240-4032,Private,For-Profit,No
2546,University of Phoenix-Dallas Fort Worth Campus,www.phoenix.edu,"4-year, Private for-profit",1482.0,"12400 Coit Road, Churchill Towers, Suite 200",Dallas,Texas,75251-2009,Private,For-Profit,No
2547,University of Phoenix-Denver Campus,www.phoenix.edu,"4-year, Private for-profit",2373.0,10004 Park Meadows Drive,Lone Tree,Colorado,80124-5453,Private,For-Profit,No
2548,University of Phoenix-Des Moines Campus,www.phoenix.edu,"4-year, Private for-profit",24.0,6600 Westown Parkway,West Des Moines,Iowa,50266-7724,Private,For-Profit,No
2549,University of Phoenix-Eastern Washington Campus,www.phoenix.edu,"4-year, Private for-profit",49.0,8775 E. Mission Avenue,Spokane Valley,Washington,99212-2531,Private,For-Profit,No
2550,University of Phoenix-Fairfield County Campus,www.phoenix.edu,"4-year, Private for-profit",100.0,535 Connecticut Ave,Norwalk,Connecticut,06854-1700,Private,For-Profit,No
2551,University of Phoenix-Harrisburg Campus,www.phoenix.edu,"4-year, Private for-profit",38.0,4050 Crums Mill Rd,Harrisburg,Pennsylvania,17112-2894,Private,For-Profit,No
2552,University of Phoenix-Hawaii Campus,www.phoenix.edu,"4-year, Private for-profit",993.0,827 Fort Street,Honolulu,Hawaii,96813-4317,Private,For-Profit,No
2553,University of Phoenix-Houston Westside Campus,www.phoenix.edu,"4-year, Private for-profit",2949.0,"11451 Katy Freeway, Suite 100",Houston,Texas,77079-2004,Private,For-Profit,No
2554,University of Phoenix-Idaho Campus,www.phoenix.edu,"4-year, Private for-profit",564.0,"3080 East Gentry Way, Suite 150",Meridian,Idaho,83642-3014,Private,For-Profit,No
2555,University of Phoenix-Indianapolis Campus,www.phoenix.edu,"4-year, Private for-profit",358.0,"7999 Knue Road Dr. , Ste. 100 & 500",Indianapolis,Indiana,46250-1932,Private,For-Profit,No
2556,University of Phoenix-Jersey City Campus,www.phoenix.edu,"4-year, Private for-profit",343.0,100 Town Square Place Suite 305,Jersey City,New Jersey,07310-2778,Private,For-Profit,No
2557,University of Phoenix-Kansas City Campus,www.phoenix.edu,"4-year, Private for-profit",807.0,901 E. 104th Street Suite 200,Kansas City,Missouri,64131-4517,Private,For-Profit,No
2558,University of Phoenix-Las Vegas Campus,www.phoenix.edu,"4-year, Private for-profit",3288.0,7455 W. Washington Street,Las Vegas,Nevada,89128-4337,Private,For-Profit,No
2559,University of Phoenix-Little Rock Campus,www.phoenix.edu/campus-locations/AR/Little-Rock/little-rock.aspx,"4-year, Private for-profit",814.0,10800 Financial Centre Parkway,Little Rock,Arkansas,72211-3500,Private,For-Profit,No
2560,University of Phoenix-Louisiana Campus,www.phoenix.edu/,"4-year, Private for-profit",2006.0,One Galleria Blvd. Suite 725,Metairie,Louisiana,70001-2082,Private,For-Profit,No
2561,University of Phoenix-Louisville Campus,www.phoenix.edu/,"4-year, Private for-profit",122.0,"10400 Linn Station Road, Suite 120",Louisville,Kentucky,40223-3839,Private,For-Profit,No
2562,University of Phoenix-Madison Campus,www.phoenix.edu,"4-year, Private for-profit",82.0,2310 Crossroads Dr. Ste 3000,Madison,Wisconsin,53718-2416,Private,For-Profit,No
2563,University of Phoenix-Maryland Campus,www.phoenix.edu,"4-year, Private for-profit",812.0,"8830 Stanford Blvd., Suite 100",Columbia,Maryland,21045-5424,Private,For-Profit,No
2564,University of Phoenix-Memphis Campus,www.phoenix.edu,"4-year, Private for-profit",974.0,"65 Germantown Court, Suite 100",Cordova,Tennessee,38018-7290,Private,For-Profit,No
2565,University of Phoenix-Metro Detroit Campus,www.phoenix.edu,"4-year, Private for-profit",2669.0,5480 Corporate Drive Suite 240,Troy,Michigan,48098-2623,Private,For-Profit,No
2566,University of Phoenix-Milwaukee Campus,www.phoenix.edu,"4-year, Private for-profit",476.0,20075 Watertower Blvd,Brookfield,Wisconsin,53045-6608,Private,For-Profit,No
2567,University of Phoenix-Minneapolis/St Paul Campus,www.phoenix.edu,"4-year, Private for-profit",306.0,"435 Ford Rd., Suite 1000",Saint Louis Park,Minnesota,55426-1063,Private,For-Profit,No
2568,University of Phoenix-Nashville Campus,www.phoenix.edu,"4-year, Private for-profit",975.0,"616 Marriott Drive, Suite 150",Nashville,Tennessee,37214-5048,Private,For-Profit,No
2569,University of Phoenix-New Mexico Campus,www.phoenix.edu,"4-year, Private for-profit",4357.0,5700 Pasadena NE,Albuquerque,New Mexico,87113-1570,Private,For-Profit,No
2570,University of Phoenix-North Florida Campus,www.phoenix.edu,"4-year, Private for-profit",1356.0,"4500 Salisbury Road North, Ste., 200",Jacksonville,Florida,32216-0959,Private,For-Profit,No
2571,University of Phoenix-Northern Nevada Campus,www.phoenix.edu,"4-year, Private for-profit",640.0,"5370 Kietzke Lane, Suite 102",Reno,Nevada,89511-2040,Private,For-Profit,No
2572,University of Phoenix-Northern Virginia Campus,www.phoenix.edu,"4-year, Private for-profit",441.0,"11730 Plaza America Drive, Suite 200",Reston,Virginia,20190-4742,Private,For-Profit,No
2573,University of Phoenix-Northwest Arkansas Campus,www.phoenix.edu,"4-year, Private for-profit",447.0,"903 N. 47th Street, Barrington Centre 2",Rogers,Arkansas,72756-9615,Private,For-Profit,No
2574,University of Phoenix-Northwest Indiana Campus,www.phoenix.edu,"4-year, Private for-profit",,8401 Ohio Street,Merrillville,Indiana,46410-5572,Private,For-Profit,No
2575,University of Phoenix-Oklahoma City Campus,www.phoenix.edu,"4-year, Private for-profit",846.0,"6501 N. Broadway, Suite 100",Oklahoma City,Oklahoma,73116-8244,Private,For-Profit,No
2576,University of Phoenix-Omaha Campus,www.phoenix.edu,"4-year, Private for-profit",60.0,13321 California Street Suite 200,Omaha,Nebraska,68154-5240,Private,For-Profit,No
2577,University of Phoenix-Online Campus,www.uopxonline.com,"4-year, Private for-profit",301323.0,3157 E. Elwood Street,Phoenix,Arizona,85034-7209,Private,For-Profit,No
2578,University of Phoenix-Oregon Campus,www.phoenix.edu,"4-year, Private for-profit",1329.0,"13221 SW 68th Parkway, Suite 500",Tigard,Oregon,97223-8368,Private,For-Profit,No
2579,University of Phoenix-Philadelphia Campus,www.phoenix.edu,"4-year, Private for-profit",911.0,"170 South Warner Road, Ste. 200",Wayne,Pennsylvania,19087-2121,Private,For-Profit,No
2580,University of Phoenix-Phoenix-Hohokam Campus,www.phoenix.edu,"4-year, Private for-profit",5868.0,4635 East Elwood Street,Phoenix,Arizona,85040-1958,Private,For-Profit,No
2581,University of Phoenix-Pittsburgh Campus,www.phoenix.edu,"4-year, Private for-profit",81.0,"Penn Center West, Bldg. 6, Suite 100",Pittsburgh,Pennsylvania,15276-0109,Private,For-Profit,No
2582,University of Phoenix-Puerto Rico Campus,www.phoenix.edu,"4-year, Private for-profit",2907.0,"Santander Tower at San Patricio B-7 Tabonuco St., Ste. 700",Guaynabo,Puerto Rico,00968-3003,Private,For-Profit,No
2583,University of Phoenix-Raleigh Campus,www.phoenix.edu,"4-year, Private for-profit",523.0,"5511 Capital Center Drive, Ste. 390",Raleigh,North Carolina,27606-4166,Private,For-Profit,No
2584,University of Phoenix-Richmond Campus,www.phoenix.edu,"4-year, Private for-profit",117.0,6600 W. Broad Street,Richmond,Virginia,23230-1709,Private,For-Profit,No
2585,University of Phoenix-Sacramento Valley Campus,www.phoenix.edu,"4-year, Private for-profit",3933.0,"2890 Gateway Oaks Drive, Suite 200",Sacramento,California,95833-3632,Private,For-Profit,No
2586,University of Phoenix-San Antonio Campus,www.phoenix.edu,"4-year, Private for-profit",799.0,8200 IH-10 West Suite 910,San Antonio,Texas,78230-3876,Private,For-Profit,No
2587,University of Phoenix-San Diego Campus,www.phoenix.edu,"4-year, Private for-profit",3367.0,3890 Murphy Canyon Road Suite 100,San Diego,California,92123-4448,Private,For-Profit,No
2588,University of Phoenix-Savannah Campus,www.phoenix.edu,"4-year, Private for-profit",585.0,8001 Chatham Center Drive Suite 200,Savannah,Georgia,31405-7400,Private,For-Profit,No
2589,University of Phoenix-South Florida Campus,www.phoenix.edu,"4-year, Private for-profit",2560.0,600 N. Pine Island Road Suite 500,Plantation,Florida,33324-1393,Private,For-Profit,No
2590,University of Phoenix-Southern Arizona Campus,www.phoenix.edu,"4-year, Private for-profit",2325.0,300 S. Craycroft Road,Tucson,Arizona,85711-4574,Private,For-Profit,No
2591,University of Phoenix-Southern California Campus,www.phoenix.edu,"4-year, Private for-profit",12339.0,"3090 Bristol Street, Suite 500",Costa Mesa,California,92626-3079,Private,For-Profit,No
2592,University of Phoenix-Southern Colorado Campus,www.phoenix.edu,"4-year, Private for-profit",594.0,5725 Mark Dabling Blvd.,Colorado Springs,Colorado,80919-2221,Private,For-Profit,No
2593,University of Phoenix-Springfield  Campus,www.phoenix.edu,"4-year, Private for-profit",125.0,1343 E. Kingsley Street,Springfield,Missouri,65804-7216,Private,For-Profit,No
2594,University of Phoenix-St Louis Campus,www.phoenix.edu,"4-year, Private for-profit",460.0,"13801 Riverport Drive, Ste. 102",Saint Louis,Missouri,63043-4828,Private,For-Profit,No
2595,University of Phoenix-Tulsa Campus,www.phoenix.edu,"4-year, Private for-profit",826.0,"10810 E. 45th Street, Suite 102",Tulsa,Oklahoma,74146-3801,Private,For-Profit,No
2596,University of Phoenix-Utah Campus,www.phoenix.edu,"4-year, Private for-profit",3396.0,5373 S. Green Street,Salt Lake City,Utah,84123-4617,Private,For-Profit,No
2597,University of Phoenix-Washington DC Campus,www.phoenix.edu,"4-year, Private for-profit",27.0,25 Massachusetts Avenue NW,Washington,District of Columbia,20001-1431,Private,For-Profit,No
2598,University of Phoenix-West Florida Campus,www.phoenix.edu,"4-year, Private for-profit",983.0,"12802 Tampa Oaks Boulevard, Suite 200",Temple Terrace,Florida,33637-1915,Private,For-Profit,No
2599,University of Phoenix-West Michigan Campus,www.phoenix.edu,"4-year, Private for-profit",549.0,"318 River Ridge Dr, NW",Grand Rapids,Michigan,49544-1683,Private,For-Profit,No
2600,University of Phoenix-Western Washington Campus,www.phoenix.edu,"4-year, Private for-profit",802.0,7100 Fort Dent Way,Tukwila,Washington,98188-8559,Private,For-Profit,No
2601,University of Phoenix-Wichita Campus,www.phoenix.edu,"4-year, Private for-profit",143.0,"3020 N. Cypress Drive, Suite 150",Wichita,Kansas,67226-4011,Private,For-Profit,No
2602,University of Pittsburgh-Bradford,www.upb.pitt.edu/,"4-year, Public",1502.0,300 Campus Drive,Bradford,Pennsylvania,16701,Public,NFP,No
2603,University of Pittsburgh-Greensburg,www.upg.pitt.edu,"4-year, Public",1826.0,150 Finoli Drive,Greensburg,Pennsylvania,15601,Public,NFP,No
2604,University of Pittsburgh-Johnstown,www.upj.pitt.edu,"4-year, Public",3032.0,450 Schoolhouse Road,Johnstown,Pennsylvania,15904,Public,NFP,No
2605,University of Pittsburgh-Pittsburgh Campus,www.pitt.edu,"4-year, Public",27562.0,4200 Fifth Avenue,Pittsburgh,Pennsylvania,15260,Public,NFP,No
2606,University of Portland,www.up.edu,"4-year, Private not-for-profit",3661.0,5000 N Willamette Blvd,Portland,Oregon,97203-5798,Private,NFP,No
2607,University of Puerto Rico at Cayey,www.cayey.upr.edu,"4-year, Public",3739.0,205 Antonio R. Barcelo Ave.,Cayey,Puerto Rico,00736-9997,Public,NFP,No
2608,University of Puerto Rico in Ponce,www.uprp.edu,"4-year, Public",3232.0,2151 Santiago de los Caballeros Avenue,Ponce,Puerto Rico,00716-9996,Public,NFP,No
2609,University of Puerto Rico-Aguadilla,www.uprag.edu,"4-year, Public",3036.0,Belt St.,Ramey,Puerto Rico,00604-0160,Public,NFP,No
2610,University of Puerto Rico-Arecibo,upra.edu,"4-year, Public",4094.0,Finca las Dunas Carr 653 Ruta 129 Km 8,Arecibo,Puerto Rico,00614-4010,Public,NFP,No
2611,University of Puerto Rico-Bayamon,www.uprb.edu/,"4-year, Public",5014.0,Road 174 #170 Minillas Industrial Park,Bayamon,Puerto Rico,00959,Public,NFP,No
2612,University of Puerto Rico-Carolina,www.uprc.edu,"4-year, Public",4240.0,Carretera 887 Bo San Anton,Carolina,Puerto Rico,00984-4800,Public,NFP,No
2613,University of Puerto Rico-Humacao,www.uprh.edu,"4-year, Public",4744.0,100 Road 908,Humacao,Puerto Rico,00791,Public,NFP,No
2614,University of Puerto Rico-Mayaguez,www.uprm.edu,"4-year, Public",13324.0,Post St,Mayaguez,Puerto Rico,00681,Public,NFP,No
2615,University of Puerto Rico-Medical Sciences Campus,www.rcm.upr.edu,"4-year, Public",2319.0,"Rio Piedras Medical Center, Americo Miranda Avenue",San Juan,Puerto Rico,00936-5067,Public,NFP,No
2616,University of Puerto Rico-Rio Piedras Campus,www.uprrp.edu,"4-year, Public",18653.0,Ponce de Leon  Ave,Rio Piedras,Puerto Rico,00931-3300,Public,NFP,No
2617,University of Puerto Rico-Utuado,www.uprutuado.edu,"4-year, Public",1682.0,Carr. # 10 Km. 52.2,Utuado,Puerto Rico,00641,Public,NFP,No
2618,University of Puget Sound,www.ups.edu,"4-year, Private not-for-profit",2844.0,1500 N Warner,Tacoma,Washington,98416,Private,NFP,No
2619,University of Redlands,www.redlands.edu,"4-year, Private not-for-profit",4317.0,1200 E. Colton Ave,Redlands,California,92373-0999,Private,NFP,No
2620,University of Rhode Island,www.uri.edu/,"4-year, Public",15904.0,Kingston,,Rhode Island,02881,Public,NFP,No
2621,University of Richmond,www.richmond.edu,"4-year, Private not-for-profit",4249.0,28 Westhampton Way,Richmond,Virginia,23173,Private,NFP,No
2622,University of Rio Grande,www.rio.edu,"4-year, Private not-for-profit",1967.0,218 N College Ave,Rio Grande,Ohio,45674,Private,NFP,No
2623,University of Rochester,www.rochester.edu,"4-year, Private not-for-profit",9735.0,240 Wallis Hall,Rochester,New York,14627-0011,Private,NFP,No
2624,University of Sacred Heart,www.sagrado.edu,"4-year, Private not-for-profit",5666.0,Calle Rosales Esq San Antonio Pda 26 1/2,Santurce,Puerto Rico,00907,Private,NFP,No
2625,University of Saint Francis-Ft Wayne,www.sf.edu,"4-year, Private not-for-profit",2112.0,2701 Spring St,Fort Wayne,Indiana,46808-3994,Private,NFP,No
2626,University of Saint Mary,www.stmary.edu,"4-year, Private not-for-profit",955.0,4100 S 4th St Trafficway,Leavenworth,Kansas,66048-5082,Private,NFP,No
2627,University of Saint Mary of the Lake,www.vocations.org,"4-year, Private not-for-profit",213.0,1000 E Maple Ave,Mundelein,Illinois,60060-1174,Private,NFP,No
2628,University of San Diego,www.sandiego.edu,"4-year, Private not-for-profit",7832.0,5998 Alcala Park,San Diego,California,92110-2492,Private,NFP,No
2629,University of San Francisco,www.usfca.edu,"4-year, Private not-for-profit",8750.0,2130 Fulton St,San Francisco,California,94117-1080,Private,NFP,No
2630,University of Science and Arts of Oklahoma,www.usao.edu,"4-year, Public",1174.0,17th Street and Grand Avenue,Chickasha,Oklahoma,73018-5322,Public,NFP,No
2631,University of Scranton,www.scranton.edu,"4-year, Private not-for-profit",5651.0,800 Linden Street,Scranton,Pennsylvania,18510-4629,Private,NFP,No
2632,University of Sioux Falls,usiouxfalls.edu,"4-year, Private not-for-profit",1589.0,1101 W 22nd St,Sioux Falls,South Dakota,57105-1699,Private,NFP,No
2633,University of South Alabama,www.southalabama.edu,"4-year, Public",14064.0,307 N University Blvd,Mobile,Alabama,36688-0002,Public,NFP,No
2634,University of South Carolina-Aiken,www.usca.edu,"4-year, Public",3232.0,471 University Pkwy,Aiken,South Carolina,29801,Public,NFP,No
2635,University of South Carolina-Beaufort,www.uscb.edu,"4-year, Public",1502.0,1 University Boulevard,Bluffton,South Carolina,29909,Public,NFP,No
2636,University of South Carolina-Columbia,www.sc.edu/,"4-year, Public",27488.0,Columbia,,South Carolina,29208,Public,NFP,No
2637,University of South Carolina-Upstate,www.uscupstate.edu,"4-year, Public",5063.0,800 University Way,Spartanburg,South Carolina,29303-4999,Public,NFP,No
2638,University of South Dakota,WWW.USD.EDU,"4-year, Public",9291.0,414 E Clark St,Vermillion,South Dakota,57069-2390,Public,NFP,No
2639,University of South Florida,www.usf.edu,"4-year, Public",46189.0,4202 East Fowler Ave,Tampa,Florida,33620-9951,Public,NFP,No
2640,University of South Florida Polytechnic,www.poly.usf.edu/,"4-year, Public",,3433 Winter Lake Rd,Lakeland,Florida,33803-9807,Public,NFP,No
2641,University of South Florida Sarasota-Manatee,www.sarasota.usf.edu/,"4-year, Public",,8350 N Tamiami Trail,Sarasota,Florida,34243-2049,Public,NFP,No
2642,University of South Florida St. Petersburg,www.stpt.usf.edu,"4-year, Public",,140 Seventh Ave S.,St. Petersburg,Florida,33701-9807,Public,NFP,No
2643,University of Southern California,www.usc.edu/,"4-year, Private not-for-profit",33747.0,University Park,Los Angeles,California,90089,Private,NFP,No
2644,University of Southern Indiana,www.usi.edu,"4-year, Public",10126.0,8600 University Blvd,Evansville,Indiana,47712,Public,NFP,No
2645,University of Southern Maine,www.usm.maine.edu,"4-year, Public",10009.0,96 Falmouth St,Portland,Maine,04103,Public,NFP,No
2646,University of Southern Mississippi,WWW.USM.EDU,"4-year, Public",14793.0,118 College Drive # 0001,Hattiesburg,Mississippi,39406-0001,Public,NFP,No
2647,University of Southern Nevada,www.usn.edu,"4-year, Private not-for-profit",785.0,11 Sunset Way,Henderson,Nevada,89014,Private,NFP,No
2648,University of St Francis,www.stfrancis.edu,"4-year, Private not-for-profit",3340.0,500 N Wilcox St,Joliet,Illinois,60435-6188,Private,NFP,No
2649,University of St Thomas,www.stthom.edu,"4-year, Private not-for-profit",3165.0,3800 Montrose Blvd,Houston,Texas,77006-4696,Private,NFP,No
2650,University of St Thomas,www.stthomas.edu,"4-year, Private not-for-profit",10963.0,2115 Summit Ave,Saint Paul,Minnesota,55105-1078,Private,NFP,No
2651,University of Texas Southwestern Medical Center at Dallas,www.utsouthwestern.edu,"4-year, Public",2461.0,5323 Harry Hines Blvd,Dallas,Texas,75390-9096,Public,NFP,No
2652,University of the Cumberlands,www.ucumberlands.edu,"4-year, Private not-for-profit",2553.0,6191 College Station Drive,Williamsburg,Kentucky,40769,Private,NFP,No
2653,University of the District of Columbia,www.udc.edu,"4-year, Public",5339.0,4200 Connecticut Ave NW,Washington,District of Columbia,20008,Public,NFP,No
2654,University of the District of Columbia David A Clarke School of Law,www.law.udc.edu,"4-year, Public",245.0,4200 Connecticut Ave NW,Washington,District of Columbia,20008,Public,NFP,No
2655,University of the Incarnate Word,www.uiw.edu,"4-year, Private not-for-profit",6361.0,4301 Broadway,San Antonio,Texas,78209,Private,NFP,No
2656,University of the Ozarks,www.ozarks.edu,"4-year, Private not-for-profit",675.0,415 N College Ave,Clarksville,Arkansas,72830,Private,NFP,No
2657,University of the Pacific,www.pacific.edu,"4-year, Private not-for-profit",6251.0,3601 Pacific Ave,Stockton,California,95211-0197,Private,NFP,No
2658,University of the Rockies,www.rockies.edu,"4-year, Private for-profit",141.0,555 E Pikes Peak Ave #108,Colorado Springs,Colorado,80903-3612,Private,For-Profit,No
2659,University of the Sciences in Philadelphia,www.usp.edu,"4-year, Private not-for-profit",3000.0,600 S 43rd Street,Philadelphia,Pennsylvania,19104-4495,Private,NFP,No
2660,University of the Southwest,www.usw.edu,"4-year, Private not-for-profit",509.0,6610 Lovington Hwy,Hobbs,New Mexico,88240,Private,NFP,No
2661,University of the Virgin Islands,www.uvi.edu,"4-year, Public",2393.0,2 John Brewers Bay,Charlotte Amalie,Virgin Islands,00802-9990,Public,NFP,No
